fips_state,total_incidents,total_offenses,total_victims,cleared_incidents,num_agencies,clearance_rate,NAME,median_household_income,unemployment_rate_pct,poverty_rate_pct,bachelors_degree_or_higher_pct,total_population,white_alone_pct,black_alone_pct,hispanic_latino_pct,housing_vacancy_rate_pct,state,crime_rate_per_100k
01,214804,214804,215483,214804,1,1.0,Alabama,59609,5.2,15.7,27.2,5028092,66.2,26.4,3.2,15.8,01,4272.08
02,14063,14063,14070,14063,1,1.0,Alaska,86370,6.4,10.5,30.7,734821,61.3,3.2,4.3,18.9,02,1913.8
04,189010,189010,189169,189010,1,1.0,Arizona,72581,5.4,13.1,31.8,7172282,66.7,4.6,17.4,11.6,04,2635.28
05,176545,176545,176630,176545,1,1.0,Arkansas,56335,5.1,16.2,24.7,3018669,72.7,15.1,6.6,14.6,05,5848.44
06,737745,737745,738210,737745,1,1.0,California,91905,6.4,12.1,35.9,39356104,48.1,5.6,25.7,7.7,06,1874.54
08,327646,327646,327741,327646,1,1.0,Colorado,87598,4.5,9.6,43.7,5770790,76.1,4.0,11.8,8.9,08,5677.66
09,112134,112134,112214,112134,1,1.0,Connecticut,90213,5.9,10.1,41.4,3611317,69.8,10.7,11.3,7.9,09,3105.07
10,52741,52741,52767,52741,1,1.0,Delaware,79325,5.4,11.1,34.5,993635,63.8,22.0,6.4,13.9,10,5307.88
11,59726,59726,59726,59726,1,1.0,District of Columbia,101722,7.1,15.1,62.6,670587,39.6,44.3,8.1,9.9,11,8906.53
12,213003,213003,213571,213003,1,1.0,Florida,67917,5.0,12.9,32.3,21634529,63.8,15.5,14.8,15.8,12,984.55
13,397697,397697,398053,397697,1,1.0,Georgia,71355,5.2,13.5,33.6,10722325,54.3,31.5,6.7,10.8,13,3709.06
15,52628,52628,52628,52628,1,1.0,Hawaii,94814,5.1,9.6,34.7,1450589,23.0,2.0,4.6,13.7,15,3628.04
16,61845,61845,61894,61845,1,1.0,Idaho,70214,3.8,11.0,30.2,1854109,84.9,0.7,8.7,11.0,16,3335.56
17,441504,441504,441981,441504,1,1.0,Illinois,78433,6.0,11.8,36.7,12757634,65.8,13.9,11.6,8.4,17,3460.7
18,211350,211350,211599,211350,1,1.0,Indiana,67173,4.5,12.3,28.2,6784403,80.0,9.4,5.2,9.5,18,3115.23
19,97542,97542,97602,97542,1,1.0,Iowa,70571,3.8,11.1,30.3,3188836,86.9,3.8,3.9,9.0,19,3058.86
20,135768,135768,135768,135768,1,1.0,Kansas,69747,4.0,11.6,34.7,2935922,79.8,5.6,7.0,10.2,20,4624.37
21,143680,143680,143719,143680,1,1.0,Kentucky,60183,5.1,16.1,26.5,4502935,84.8,8.0,2.9,11.5,21,3190.81
22,189649,189649,189649,189649,1,1.0,Louisiana,57852,6.6,18.7,26.1,4640546,59.4,31.6,4.1,15.1,22,4086.78
23,39394,39394,39400,39394,1,1.0,Maine,68251,4.0,10.9,34.1,1366949,92.3,1.6,2.2,21.8,23,2881.89
24,190103,190103,191352,190103,1,1.0,Maryland,98461,5.1,9.3,42.2,6161707,51.2,29.9,8.5,8.4,24,3085.23
25,192909,192909,193356,192909,1,1.0,Massachusetts,96505,5.3,9.9,45.9,6984205,72.7,7.1,10.2,8.6,25,2762.08
26,413881,413881,414175,413881,1,1.0,Michigan,68505,6.0,13.1,31.1,10057921,75.7,13.6,3.8,12.5,26,4114.98
27,230065,230065,230074,230065,1,1.0,Minnesota,84313,4.0,9.3,38.2,5695292,79.7,6.7,4.3,9.5,27,4039.56
28,79389,79389,79468,79389,1,1.0,Mississippi,52985,6.4,19.2,23.9,2958846,56.9,37.2,2.5,15.4,28,2683.11
29,299487,299487,300157,299487,1,1.0,Missouri,65920,4.3,12.8,31.2,6154422,79.4,11.3,3.8,12.0,29,4866.21
30,44893,44893,44896,44893,1,1.0,Montana,66341,3.9,12.4,34.0,1091840,86.4,0.6,3.0,14.2,30,4111.68
31,57317,57317,57352,57317,1,1.0,Nebraska,71722,3.1,10.4,33.5,1958939,81.8,4.8,6.9,8.4,31,2925.92
32,181697,181697,182321,181697,1,1.0,Nevada,71646,7.0,12.7,26.5,3104817,55.8,9.3,19.5,9.7,32,5852.1
33,45144,45144,45158,45144,1,1.0,New Hampshire,90845,3.6,7.3,39.0,1379610,90.0,1.5,3.4,14.9,33,3272.23
34,164989,164989,165157,164989,1,1.0,New Jersey,97126,6.2,9.7,42.3,9249063,59.8,13.1,14.4,8.5,34,1783.85
35,126145,126145,126630,126145,1,1.0,New Mexico,58722,6.2,18.3,29.1,2112463,59.2,2.1,24.9,13.8,35,5971.47
36,145000,145000,145007,145000,1,1.0,New York,81386,6.2,13.6,38.8,19994379,58.8,15.1,14.2,10.5,36,725.2
37,499698,499698,500536,499698,1,1.0,North Carolina,66186,5.1,13.3,33.9,10470214,65.0,20.9,6.8,13.4,37,4772.57
38,40714,40714,40721,40714,1,1.0,North Dakota,73959,2.9,10.8,31.4,776874,84.5,3.2,2.8,14.1,38,5240.75
39,458532,458532,460170,458532,1,1.0,Ohio,66990,5.0,13.3,30.4,11774683,78.8,12.3,3.1,8.8,39,3894.22
40,213866,213866,213869,213866,1,1.0,Oklahoma,61364,4.9,15.2,27.3,3970497,68.4,7.2,6.4,13.1,40,5386.38
41,212742,212742,212873,212742,1,1.0,Oregon,76632,5.5,11.9,35.5,4229374,78.7,1.9,8.7,7.6,41,5030.11
42,231170,231170,231678,231170,1,1.0,Pennsylvania,73170,5.4,11.8,33.8,12989208,77.1,10.8,5.7,9.7,42,1779.71
44,34017,34017,34019,34017,1,1.0,Rhode Island,81370,5.9,11.2,36.3,1094250,74.6,6.2,12.6,10.5,44,3108.7
45,296482,296482,296770,296482,1,1.0,South Carolina,63623,5.2,14.4,30.6,5142750,65.0,25.8,4.5,14.4,45,5765.05
46,40861,40861,40862,40861,1,1.0,South Dakota,69457,3.1,12.3,30.4,890342,82.2,2.2,2.9,11.5,46,4589.36
47,402260,402260,402745,402260,1,1.0,Tennessee,64035,5.0,14.0,29.7,6923772,74.9,16.3,4.1,11.1,47,5809.84
48,1517128,1517128,1518170,1517128,1,1.0,Texas,73035,5.2,13.9,32.3,29243342,59.1,12.1,20.3,10.0,48,5187.94
49,152007,152007,152035,152007,1,1.0,Utah,86833,3.4,8.5,36.1,3283809,82.4,1.1,9.1,8.6,49,4628.98
50,19238,19238,19253,19238,1,1.0,Vermont,74014,3.8,10.4,41.7,643816,92.3,1.2,2.1,20.7,50,2988.12
51,356083,356083,356138,356083,1,1.0,Virginia,87249,4.4,10.0,41.0,8624511,63.5,18.9,6.7,9.3,51,4128.73
53,424190,424190,424485,424190,1,1.0,Washington,90325,5.0,9.9,38.0,7688549,69.9,3.9,9.3,7.4,53,5517.17
54,46162,46162,46272,46162,1,1.0,West Virginia,55217,6.1,16.8,22.7,1792967,91.4,3.4,1.9,16.7,54,2574.62
55,198674,198674,198733,198674,1,1.0,Wisconsin,72458,3.4,10.7,32.0,5882128,82.5,6.2,5.0,11.3,55,3377.59
56,18176,18176,18181,18176,1,1.0,Wyoming,72495,3.8,10.7,29.0,577929,87.3,0.8,6.0,14.3,56,3145.02
